T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.725308908,-0,-0,0,0,0,0,-1916.11,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.478824998312749,-391735.725308908,98083.89,0.254685102,0.19521
3600,0,0,-395127.288299268,-0,-0,0,0,0,0,-1745.93,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.457649996625497,-395127.288299268,98254.07,0.235038489,0.17445
7200,0,0,-386838.771823544,-0,-0,0,0,373500,0,-1504.68,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.422680145600083,0.436474994938246,-13338.7718235435,98495.32,0.209223753,0.14961
10800,0,0,-400327.600799268,-0,-0,300000,0,373500,0,-1389.39,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.268040436800248,0.415299993250995,273172.399200732,98610.61,0.200678984,0.14057
14400,0,0,-398289.084323544,-0,-0,742000,0,373500,0,-1330.01,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.458155723905202,0.5,0.113400728000414,0.394124991563744,717210.915676457,98669.99,0.201976216,0.14056
18000,0,0,-485746.161690245,-0,-0,1122431,0,-485746.1617,0,-1261.3,100000,89092.97521,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.35470517768404,0.5,0.103372747249625,0.364060546935951,150938.676609755,98738.7000033884,0.207583942,0.14516
21600,0,0,-487656.944173474,-0,-0,0,0,-487656.9442,0,-25186.1,100000,608333.3452,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.197433593278582,0.5,0.188510045141753,0.232954837303515,-975313.888373474,74813.9000382352,0.222909454,0.15946
25200,0,1112.5,-515761.032608609,-0,-0,-514648.5326,0,0.105863719,0,-49335.7,100000,1032778.937,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.197433593278582,0.5,0.23116224674551,0.157843641885333,-1029296.95934489,50664.2995517344,0.23400607,0.17157
28800,0,287081.25,-559945.915990369,-0,-0,-272920.666,0,0,0,-48084.2,273506.969057549,-0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.272412053158076,0.5,0.231162224830202,0,-545785.331990369,-822493.909437549,0.204594962,0.14926
32400,0,1049418.75,-571927.488887267,-0,-0,0,0,477491.2611,0,3928.43,188649.317518669,-0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.31220539221417,0.5,0.132314688590617,0,954982.522212733,-665157.801499846,0.190178791,0.14056
36000,0,1648937.5,-544977.197684986,-0,-0,787938.1986,0,315936.7389,0,12700.7,267514.857156987,-0,-376750,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.31220539221417,0.5,0.0336321268020135,0,2207835.23981501,-463848.504258221,0.178113509,0.13582
39600,0,1230287.5,-505042.412348595,-0,-0,0,0,-0,0,52287.9,283332.474736651,-0,-364166.666666667,-399809.103134583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.199503038222884,0.5,0,0,725245.087651405,-428355.395064599,0.171302914,0.13022
43200,0,1358200,-497512.849054507,-0,-0,0,0,0,0,60700.9,267726.278003989,-0,-351666.666666667,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.199503038222884,0.5,0,0,860687.150945493,-390553.550077886,0.170354739,0.12872
46800,0,931306.25,-507461.418179171,-0,-0,0,0,0,0,148898,153425.491666804,-0,-339083.333333333,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.199503038222884,0.5,0,0,423844.831820829,-417245.390685043,0.171294636,0.12993
50400,0,1449737.5,-539057.180367322,-0,-0,0,0,0,0,108168,237746.245528428,-0,-313916.666666667,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.199503038222884,0.5,0,0,910680.319632678,-348487.970156753,0.170437012,0.1289
54000,0,1487075,-556814.997879199,-0,-0,0,0,0,0,92478.7,160374.561085376,-0,-326500,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.199503038222884,0.5,0,0,930260.002120801,-467303.775536444,0.167840183,0.12529
57600,0,1547712.5,-548009.321673009,-0,-0,-368.5465218,0,0,0,142138,118930.511366446,-0,-339083.333333333,-399809.103134583,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.199503038222884,0.5,0,0,999334.631805191,-504166.900308082,0.174687823,0.12832
61200,0,612237.5,-497718.725844649,-0,-0,0,0,0,0,-3979.18,157247.758032344,-0,-351666.666666667,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.199556709535287,0.5,0,0,114518.774155351,-592055.125256142,0.185012962,0.13632
64800,0,79631.25,-417148.006244706,-0,-0,-658000.4535,0,-337516.7562,0,-3636.21,100000,-0,-370500,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.199556709535287,0.5,0,0,-1333033.96594471,-379508.110826447,0.25895084,0.19972
68400,0,31.25,-465631.278592077,-0,-0,0,0,-465600.0286,0,-3366.21,100000,-0,-496083.333333333,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.29538009943897,0.5,0.0367152282505963,0,-931200.057192078,-504821.44415978,0.27743423,0.21782
72000,0,0,-512742.029747249,-0,-0,0,0,-512742.0297,0,-2405.64,100000,-0,-464666.666666667,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.29538009943897,0.5,0.122284504486748,0,-1025484.05944725,-393415.281873278,0.284528751,0.22479
75600,0,0,-508746.044235439,-0,-0,-499746.0442,0,-9266.185416,0,-2027.3,100000,-0,-270000,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.29538009943897,0.5,0.167941199686398,0,-1017758.27385144,-198370.275206611,0.281952948,0.22303
79200,0,0,-510549.193615759,-0,-0,-510549.1936,0,0,0,-1982.61,100000,-0,-125583.333333333,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.367019441814901,0.5,0.168751653221325,0,-1021098.38721576,-53908.9185399449,0.270473632,0.21472
82800,0,0,-500701.480599898,-0,-0,-500701.4806,0,0,0,-1863.19,100000,-0,-18833.3333333333,-0,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.440262615175887,0.5,0.168751653221325,0,-1001402.9611999,66131.9890633609,0.260452171,0.20463
